Code,Age (filled by me),What is your age?,Which gender do you identify with?,What is your profession?,Do you wear prescription glasses?,I like to occupy myself in greater detail with technical systems.,I like testing the functions of new technical systems.,I predominantly deal with technical systems because I have to.,"When I have a new technical system in front of me, I try it out intensively",I enjoy spending time becoming acquainted with a new technical system.,It is enough for me that a technical system works; I don’t care how or why.,I try to understand how a technical system exactly works.,It is enough for me to know the basic functions of a technical system,I try to make full use of the capabilities of a technical system.,How would you rate your familiarity with Virtual Reality (VR) and Augmented Reality (AR) technology?,How often have you used Virtual Reality (VR) and Augmented Reality (AR) technologies?,Sum ATI  Score,Individual ATI  Score,Mean ATI  Score,Standard Deviation ATI Score
Bee,24,18 - 24,Male,Student,Yes,5,6,3,5,5,3,4,3,5,2,"I occasionally use VR or AR (e.g., a few times a year).",39.00,4.33,4.08,0.47
Bird,23,18 - 24,Female,Student,No,5,5,4,4,3,3,5,1,5,2,I have tried VR or AR once or twice.,35.00,3.89,,
Cat,21,18 - 24,Male,Student,No,6,6,3,6,6,3,5,2,6,2,I have tried VR or AR once or twice.,43.00,4.78,,
Chicken,22,18 - 24,Female,Student,Yes,4,5,3,4,5,3,5,3,4,4,"I frequently use VR or AR (e.g., weekly or more often).",36.00,4.00,,
Cow,22,18 - 24,Male,Student,Yes,4,5,5,5,5,4,5,2,4,3,"I occasionally use VR or AR (e.g., a few times a year).",39.00,4.33,,
Dog,22,18 - 24,Male,Student,Yes,4,5,4,4,3,4,4,3,4,4,I have tried VR or AR once or twice.,35.00,3.89,,
Duck,23,18 - 24,Female,Bartender,No,3,4,3,3,4,3,3,2,3,1,I have never used VR or AR.,28.00,3.11,,
Fish,22,18 - 24,Male,Student,No,6,6,5,5,4,5,5,2,5,4,"I occasionally use VR or AR (e.g., a few times a year).",43.00,4.78,,
Frog,22,18 - 24,Male,Studant,No,4,4,4,4,4,2,5,1,5,1,I have never used VR or AR.,33.00,3.67,,
Horse,23,18 - 24,Male,Student,No,4,3,4,2,3,3,3,2,4,2,I have tried VR or AR once or twice.,28.00,3.11,,
lion,20,18 - 24,Male,Student,No,5,5,4,4,5,3,5,3,6,2,I have tried VR or AR once or twice.,40.00,4.44,,
monkey,22,18 - 24,Male,Student,No,5,6,5,5,5,3,5,1,5,3,"I occasionally use VR or AR (e.g., a few times a year).",40.00,4.44,,
Pig,22,18 - 24,Male,Student,No,5,5,4,5,5,3,5,2,5,2,I have tried VR or AR once or twice.,39.00,4.33,,
rabbit,24,18 - 24,Male,Student,No,4,4,4,3,4,4,4,3,5,2,I have tried VR or AR once or twice.,35.00,3.89,,
shark,23,18 - 24,Male,Studenr,No,5,5,4,5,4,4,5,4,6,2,I have tried VR or AR once or twice.,42.00,4.67,,
Snail,23,18 - 24,Male,Student,No,4,5,5,5,5,4,5,3,4,4,I have tried VR or AR once or twice.,40.00,4.44,,
snake,22,18 - 24,Male,Student,Yes,6,5,5,4,5,3,3,1,4,4,"I occasionally use VR or AR (e.g., a few times a year).",36.00,4.00,,
spider,22,18 - 24,Male,Student,No,4,4,3,4,4,4,4,4,4,2,I have tried VR or AR once or twice.,35.00,3.89,,
Turtle,22,18 - 24,Male,Student,No,3,4,4,4,5,3,4,3,5,4,I have never used VR or AR.,35.00,3.89,,
Zebra,22,18 - 24,Female,Student,Yes,4,4,3,4,4,4,4,3,4,2,I have tried VR or AR once or twice.,34.00,3.78,,
,,,,,,,,,,,,,,,,,,,,
Mean,22.3,,,,Variance ,0.75,0.66,0.5475,0.7875,0.64,0.44,0.54,0.84,0.6275,,Sum,17.1875,,,
SD,0.9233805169,,,,Cronbach's alpha,0.7432363636,,,,´,,,,,,,,,,